"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 22 15:08:28 EEST 2022","Fri Apr 22 15:08:41 EEST 2022","13060","","The account registration","","The account registration","Should register an account with valid credentials","Should register an account with valid credentials",""
"broken","Fri Apr 22 15:08:50 EEST 2022","Fri Apr 22 15:09:16 EEST 2022","25656","","Customer should login to his account","","Customer should login to his account","""after each"" hook for Customer should login to his account","""after each"" hook for Customer should login to his account",""
